01234567  0 
01237564 01234567 1 
01234765 01234567 1 
01234576 01234567 1 
07231564 01237564 2 
01732564 01237564 2 
01734265 01234765 2 
01274365 01234765 2 
07234516 01234576 2 
01274536 01234576 2 
70231564 07231564 3 
06231574 07231564 3 
71032564 01732564 3 
01532764 01732564 3 
71034265 01734265 3 
01437265 01734265 3 
71204365 01274365 3 
01264375 01274365 3 
70234516 07234516 3 
04237516 07234516 3 
71204536 01274536 3 
01254736 01274536 3 
20731564 70231564 4 
30271564 70231564 4 
06271534 06231574 4 
06231547 06231574 4 
17032564 71032564 4 
31072564 71032564 4 
01572364 01532764 4 
01532467 01532764 4 
17034265 71034265 4 
31074265 71034265 4 
07431265 01437265 4 
01435267 01437265 4 
17204365 71204365 4 
21704365 71204365 4 
07264315 01264375 4 
01264357 01264375 4 
20734516 70234516 4 
30274516 70234516 4 
04732516 04237516 4 
04236517 04237516 4 
17204536 71204536 4 
21704536 71204536 4 
01754236 01254736 4 
01254637 01254736 4 
20137564 20731564 5 
20531764 20731564 5 
30251764 30271564 5 
30261574 30271564 5 
76201534 06271534 5 
06251734 06271534 5 
06237541 06231547 5 
06231745 06231547 5 
12037564 17032564 5 
16032574 17032564 5 
31052764 31072564 5 
31062574 31072564 5 
71502364 01572364 5 
01562374 01572364 5 
01537462 01532467 5 
01532476 01532467 5 
14037265 17034265 5 
16034275 17034265 5 
31024765 31074265 5 
31064275 31074265 5 
70431265 07431265 5 
06431275 07431265 5 
01435762 01435267 5 
01435276 01435267 5 
14207365 17204365 5 
16204375 17204365 5 
21407365 21704365 5 
21304765 21704365 5 
70264315 07264315 5 
04267315 07264315 5 
01267354 01264357 5 
01264753 01264357 5 
20437516 20734516 5 
20534716 20734516 5 
30254716 30274516 5 
30214576 30274516 5 
74032516 04732516 5 
04532716 04732516 5 
04236715 04236517 5 
04236571 04236517 5 
14207536 17204536 5 
13204576 17204536 5 
21407536 21704536 5 
21504736 21704536 5 
71054236 01754236 5 
01457236 01754236 5 
01257634 01254637 5 
01254673 01254637 5 
27130564 20137564 6 
20134567 20137564 6 
20571364 20531764 6 
20531467 20531764 6 
30751264 30251764 6 
30251467 30251764 6 
37261504 30261574 6 
30261547 30261574 6 
67201534 76201534 6 
26701534 76201534 6 
06751234 06251734 6 
06251437 06251734 6 
07236541 06237541 6 
06732541 06237541 6 
06731245 06231745 6 
06271345 06231745 6 
12730564 12037564 6 
12034567 12037564 6 
16072534 16032574 6 
16032547 16032574 6 
31752064 31052764 6 
31052467 31052764 6 
37062514 31062574 6 
31062547 31062574 6 
17502364 71502364 6 
51702364 71502364 6 
07562314 01562374 6 
01562347 01562374 6 
07531462 01537462 6 
01735462 01537462 6 
07532416 01532476 6 
01572436 01532476 6 
14730265 14037265 6 
14035267 14037265 6 
16074235 16034275 6 
16034257 16034275 6 
31724065 31024765 6 
31024567 31024765 6 
37064215 31064275 6 
